ProfileType,nid:ID,:LABEL
AREA,61,IfcArbitraryClosedProfileDef
AREA,91,IfcArbitraryClosedProfileDef
AREA,115,IfcArbitraryClosedProfileDef
AREA,136,IfcArbitraryClosedProfileDef
AREA,161,IfcArbitraryClosedProfileDef
AREA,211,IfcArbitraryClosedProfileDef
AREA,236,IfcArbitraryClosedProfileDef
AREA,302,IfcArbitraryClosedProfileDef
AREA,2348,IfcArbitraryClosedProfileDef
AREA,2370,IfcArbitraryClosedProfileDef
AREA,2396,IfcArbitraryClosedProfileDef
AREA,2408,IfcArbitraryClosedProfileDef
AREA,2420,IfcArbitraryClosedProfileDef
AREA,2432,IfcArbitraryClosedProfileDef
AREA,2457,IfcArbitraryClosedProfileDef
AREA,2469,IfcArbitraryClosedProfileDef
AREA,2570,IfcArbitraryClosedProfileDef
AREA,2642,IfcArbitraryClosedProfileDef
AREA,2714,IfcArbitraryClosedProfileDef
AREA,2786,IfcArbitraryClosedProfileDef
AREA,2858,IfcArbitraryClosedProfileDef
