Coordinates,:LABEL,nid:ID
"0.0,0.0,0.0",IfcCartesianPoint,15
"0.0,0.0,0.0",IfcCartesianPoint,22
"0.0,0.0,0.0",IfcCartesianPoint,29
"0.0,0.0,0.0",IfcCartesianPoint,39
"0.0,0.0,0.0",IfcCartesianPoint,45
"-5000.0,-180.0",IfcCartesianPoint,51
"5000.0,-180.0",IfcCartesianPoint,52
"5000.0,180.0",IfcCartesianPoint,53
"-5000.0,180.0",IfcCartesianPoint,54
"0.0,0.0,0.0",IfcCartesianPoint,58
"-5000.0,0.0",IfcCartesianPoint,63
"5000.0,0.0",IfcCartesianPoint,64
"0.0,0.0,0.0",IfcCartesianPoint,68
"-5050.0,-2730.0",IfcCartesianPoint,81
"5050.0,-2730.0",IfcCartesianPoint,82
"5050.0,2730.0",IfcCartesianPoint,83
"-5050.0,2730.0",IfcCartesianPoint,84
"0.0,0.0,0.0",IfcCartesianPoint,88
"0.0,2500.0,-2000.0",IfcCartesianPoint,95
"-3000.0,-1815.0",IfcCartesianPoint,105
"3000.0,-1815.0",IfcCartesianPoint,106
"3000.0,1815.0",IfcCartesianPoint,107
"-3000.0,1815.0",IfcCartesianPoint,108
"0.0,0.0,0.0",IfcCartesianPoint,112
"-2500.0,0.0,400.0",IfcCartesianPoint,119
"-930.0,-1500.0",IfcCartesianPoint,126
"930.0,-1500.0",IfcCartesianPoint,127
"930.0,1500.0",IfcCartesianPoint,128
"-930.0,1500.0",IfcCartesianPoint,129
"0.0,0.0,0.0",IfcCartesianPoint,133
"3000.0,0.0,400.0",IfcCartesianPoint,140
"0.0,0.0,0.0",IfcCartesianPoint,147
"0.0,0.0,0.0",IfcCartesianPoint,154
"-5100.0,-180.0",IfcCartesianPoint,156
"5100.0,-180.0",IfcCartesianPoint,157
"5100.0,180.0",IfcCartesianPoint,158
"-5100.0,180.0",IfcCartesianPoint,159
"0.0,0.0,0.0",IfcCartesianPoint,165
"0.0,0.0,0.0",IfcCartesianPoint,168
"0.0,-400.0,2700.0",IfcCartesianPoint,175
"0.0,0.0,0.0",IfcCartesianPoint,178
"0.0,5400.0,2700.0",IfcCartesianPoint,185
"-5000.0,-180.0",IfcCartesianPoint,201
"5000.0,-180.0",IfcCartesianPoint,202
"5000.0,180.0",IfcCartesianPoint,203
"-5000.0,180.0",IfcCartesianPoint,204
"0.0,0.0,0.0",IfcCartesianPoint,208
"-5000.0,0.0",IfcCartesianPoint,213
"5000.0,0.0",IfcCartesianPoint,214
"0.0,5000.0,0.0",IfcCartesianPoint,218
"-2500.0,-180.0",IfcCartesianPoint,226
"2500.0,-180.0",IfcCartesianPoint,227
"2500.0,180.0",IfcCartesianPoint,228
"-2500.0,180.0",IfcCartesianPoint,229
"0.0,0.0,0.0",IfcCartesianPoint,233
"-2500.0,0.0,3000.0",IfcCartesianPoint,240
"2500.0,0.0,3000.0",IfcCartesianPoint,247
"0.0,0.0,0.0",IfcCartesianPoint,254
"0.0,0.0,0.0",IfcCartesianPoint,257
"4820.0,2500.0,0.0",IfcCartesianPoint,264
"0.0,0.0,0.0",IfcCartesianPoint,270
"-4820.0,2500.0,0.0",IfcCartesianPoint,277
"-2500.0,0.0",IfcCartesianPoint,283
"2500.0,0.0",IfcCartesianPoint,284
"-2500.0,0.0",IfcCartesianPoint,287
"2500.0,0.0",IfcCartesianPoint,288
"-3000.0,-1815.0",IfcCartesianPoint,292
"3000.0,-1815.0",IfcCartesianPoint,293
"3000.0,1815.0",IfcCartesianPoint,294
"-3000.0,1815.0",IfcCartesianPoint,295
"0.0,0.0,0.0",IfcCartesianPoint,299
"2500.0,2320.0,400.0",IfcCartesianPoint,306
"-10000.0,-10000.0,-4130.0",IfcCartesianPoint,311
"-10000.0,10000.0,-7130.0",IfcCartesianPoint,312
"-10000.0,-6466.595796178205,-4289.813",IfcCartesianPoint,313
"-10000.0,-3224.672057016545,-4743.008",IfcCartesianPoint,314
"-10000.0,742.0189351067711,-5623.347810147949",IfcCartesianPoint,315
"-10000.0,5141.193946217509,-6632.333188967221",IfcCartesianPoint,316
"-10000.0,7488.647077289785,-6988.880257733247",IfcCartesianPoint,317
"10000.0,-10000.0,-6130.0",IfcCartesianPoint,318
"-2188.73139257227,-10000.0,-5250.124341178042",IfcCartesianPoint,319
"927.8463648834022,-10000.0,-5637.39216582838",IfcCartesianPoint,320
"4197.144744195497,-10000.0,-5936.559900346417",IfcCartesianPoint,321
"6849.128689732257,-10000.0,-6076.024864472256",IfcCartesianPoint,322
"10000.0,10000.0,-8130.0",IfcCartesianPoint,323
"10000.0,-3134.814814814816,-4969.506172839507",IfcCartesianPoint,324
"10000.0,0.0,-4755.0",IfcCartesianPoint,325
"10000.0,2516.445857916915,-4936.967627325598",IfcCartesianPoint,326
"10000.0,4758.238670084807,-5453.271283993185",IfcCartesianPoint,327
"10000.0,6939.51228852737,-6314.743037616941",IfcCartesianPoint,328
"10000.0,8435.269565007566,-7114.840171353966",IfcCartesianPoint,329
"-6270.293780998549,10000.0,-5653.099730920667",IfcCartesianPoint,330
"-3497.25143797288,10000.0,-4894.569924659454",IfcCartesianPoint,331
"-1173.638854722438,10000.0,-4583.593376189139",IfcCartesianPoint,332
"942.2272987060096,10000.0,-4629.550732671345",IfcCartesianPoint,333
"3068.346807272716,10000.0,-5014.553557514004",IfcCartesianPoint,334
"5687.825791515554,10000.0,-5907.603771239672",IfcCartesianPoint,335
"7705.613806796846,10000.0,-6849.670174327552",IfcCartesianPoint,336
"4403.693450466373,1755.241160857926,-160.8996998311359",IfcCartesianPoint,337
"1417.786195006922,1816.704198917872,-247.205899746421",IfcCartesianPoint,338
"4412.099169376737,909.9666524484651,-172.1161597136988",IfcCartesianPoint,339
"1386.649570748095,3817.878730876898,-310.9177146463571",IfcCartesianPoint,340
"-3883.085277171125,9024.79481432891,-3377.228022894593",IfcCartesianPoint,341
"-5504.42046619663,8187.366348222875,-3253.056775623446",IfcCartesianPoint,342
"-4094.502985469086,8319.078984588561,-2704.058868855618",IfcCartesianPoint,343
"-5265.546476523668,8931.27461674903,-3868.00222851321",IfcCartesianPoint,344
"-2695.80111982295,7990.855294120374,-1990.471737191741",IfcCartesianPoint,345
"-4208.624898843435,7873.25338475754,-2387.028610721517",IfcCartesianPoint,346
"-2927.209428237676,6389.120598098261,-1254.021326783744",IfcCartesianPoint,347
"-1593.747092678314,6470.439166737551,-1032.615473283816",IfcCartesianPoint,348
