Depth,:LABEL,nid:ID
3000.0,IfcExtrudedAreaSolid,62
2000.0,IfcExtrudedAreaSolid,92
1600.0,IfcExtrudedAreaSolid,116
1600.0,IfcExtrudedAreaSolid,137
4101.219330881976,IfcExtrudedAreaSolid,162
3000.0,IfcExtrudedAreaSolid,212
6000.0,IfcExtrudedAreaSolid,237
1600.0,IfcExtrudedAreaSolid,303
1200.0,IfcExtrudedAreaSolid,2349
2200.0,IfcExtrudedAreaSolid,2371
2120.0,IfcExtrudedAreaSolid,2397
2120.0,IfcExtrudedAreaSolid,2409
80.0,IfcExtrudedAreaSolid,2421
2120.0,IfcExtrudedAreaSolid,2433
90.0,IfcExtrudedAreaSolid,2458
1420.0,IfcExtrudedAreaSolid,2470
1420.0,IfcExtrudedAreaSolid,2571
1420.0,IfcExtrudedAreaSolid,2643
1420.0,IfcExtrudedAreaSolid,2715
1420.0,IfcExtrudedAreaSolid,2787
1420.0,IfcExtrudedAreaSolid,2859
