nid:ID,:LABEL
48,IfcProductDefinitionShape
80,IfcProductDefinitionShape
104,IfcProductDefinitionShape
125,IfcProductDefinitionShape
172,IfcProductDefinitionShape
182,IfcProductDefinitionShape
198,IfcProductDefinitionShape
261,IfcProductDefinitionShape
274,IfcProductDefinitionShape
291,IfcProductDefinitionShape
2323,IfcProductDefinitionShape
2335,IfcProductDefinitionShape
2359,IfcProductDefinitionShape
2389,IfcProductDefinitionShape
2533,IfcProductDefinitionShape
2539,IfcProductDefinitionShape
2550,IfcProductDefinitionShape
2556,IfcProductDefinitionShape
2559,IfcProductDefinitionShape
2610,IfcProductDefinitionShape
2616,IfcProductDefinitionShape
2622,IfcProductDefinitionShape
2628,IfcProductDefinitionShape
2631,IfcProductDefinitionShape
2682,IfcProductDefinitionShape
2688,IfcProductDefinitionShape
2694,IfcProductDefinitionShape
2700,IfcProductDefinitionShape
2703,IfcProductDefinitionShape
2754,IfcProductDefinitionShape
2760,IfcProductDefinitionShape
2766,IfcProductDefinitionShape
2772,IfcProductDefinitionShape
2775,IfcProductDefinitionShape
2826,IfcProductDefinitionShape
2832,IfcProductDefinitionShape
2838,IfcProductDefinitionShape
2844,IfcProductDefinitionShape
2847,IfcProductDefinitionShape
